ClaimID,PolicyID,ClaimAmount,Claim Date,Result Date,Status,Result,EvaluatorID,OfficeID,SettlementAmount
a2f4d2f7-b7bf-4346-819f-092cf79a6819,afd23c8c-20ad-4ea9-94d5-8d371267f185,272368,2019-12-08,2020-01-13,resolved,1,094e33d1-2142-4c41-9b07-b2885dc809c4,4e4c7d16-4efa-40d7-840f-266237db16de,
5bacc984-b9a3-4bf5-b4c9-2af47d71b163,32255d86-b372-4032-8394-0b245f7e3b11,383338,2020-11-30,2021-02-19,resolved,1,6349c5b3-3195-4ccb-acdb-60119249da70,65be338c-867a-442b-89cc-92b56a5ed4f6,
05e6c48b-bdd7-4399-a3f7-e1c663c5d12a,427054f8-e1d1-4d2d-8998-a48918914715,97318,2015-11-04,2016-02-19,resolved,1,1da7d48c-a09a-4900-b79e-bd601cad8424,91fbfbbe-ac85-458b-86b3-7d5feca832b9,
139333c5-b367-4865-9497-b57efb4f977f,e039832f-5a8e-405c-ab8b-a2bcd02cf1b6,820102,2011-11-10,2011-12-02,resolved,1,4649ed54-e43a-49d2-a59f-331cceda5a3d,d6121aab-b9b8-4838-87fe-6058a56b6d97,
5d4a79e4-484a-48ca-9fcd-865800051e99,f79b08fd-6327-48f0-9ddb-bd151947c249,233044,2010-12-03,2011-03-25,resolved,1,18e86f53-7d68-4799-95ce-4ca917eed8d1,8fbf76e0-78f2-484b-ad69-f6fde4c07a03,
a134d33d-dca3-4542-b00d-fc60cc604877,d866f34c-0417-4252-a76a-064a1c397695,226951,2015-03-02,2015-05-31,resolved,1,0c4ce219-8dbe-4417-8f39-ce8976d92a41,406898ee-af7c-466c-8b00-e1d304b73c1c,
b5d55b73-6410-43fe-8f43-0dd936c83407,9ea9dced-647b-4177-b428-01a2cd27d702,434755,2024-04-08,2024-06-01,resolved,1,663353c9-a59d-4c6a-920d-3dd9615ba06b,827e89b4-f634-4d2c-be02-3dec7296865b,
84dd40ac-d702-4819-9b89-d4fbb7857542,5f964c2d-580f-4477-9ea3-9b14f04a1c20,405104,2007-01-28,2007-02-12,resolved,1,590fb6ee-1cb3-4d94-a9e2-01bd6cabe2ac,62e9c9a8-1a1a-404c-aa0b-89583e36bf0b,
6f8b779c-90e2-41ec-add2-dd36e8fe6b94,e6602cc4-b2e4-426f-b430-149793a1950b,2162558,2024-02-10,2024-05-12,resolved,1,d4ccc3d6-8347-4713-8bab-b662f61c148c,8d76aad1-cecd-4f12-853b-57447f0fcff2,
393481d2-5a1d-4f16-ae61-5488fa5ccb6e,187f4023-786f-4d13-8313-d04f5ea03e84,184587,2024-03-09,2024-07-05,resolved,1,a7949570-d5f8-46a3-bedd-b603d6df11ea,fba23604-2865-4ba4-a000-0fdaf0e0aecc,
d1c9f725-7be3-494b-aa2a-3df3f533385f,44943b54-65dd-4d11-b365-9cf81a2c76d1,161758,2016-02-13,2016-04-29,resolved,1,18b30b7c-e149-4ca1-8b97-243b1ee5cb5a,d6121aab-b9b8-4838-87fe-6058a56b6d97,
2861c9c8-e041-4563-afde-5487ef3fec29,bde7f9e5-62db-4002-94ca-9555347c9f07,312805,2023-06-02,2023-09-03,resolved,0,9e9a58c5-58db-4ac0-943c-9f81f9d6fb96,406898ee-af7c-466c-8b00-e1d304b73c1c,
2802ba0b-8777-449a-88ff-f637f120f8b5,8afca3d0-6063-44e1-9943-a3c6f4194c58,4318149,2023-02-08,2023-03-26,resolved,1,1f618e04-7419-4b3b-8c94-d34eaf3c5fc7,e34ede07-e765-4729-a387-0140feab6285,
e9a67720-7124-401e-80dd-d819f6e4a464,5bab8c72-d6ad-4951-bc2c-53cd48752c5e,270273,2022-04-02,2022-04-12,resolved,0,fe32aa2a-4982-4e80-8abe-063dc3e78bc5,d564a493-b2d1-49b9-bbfa-2809730028ed,
0a54226e-c9ee-40d7-ba3e-e76a885c149a,6271dc58-9af7-4df5-899a-cc07fcf0eb1e,94792,2022-12-02,2023-01-13,resolved,1,f0ef8a54-2dff-4f9d-87a3-cfe687768b36,d6121aab-b9b8-4838-87fe-6058a56b6d97,
aba2fe77-dbce-48e1-9adc-da99546bd216,9f06651b-7e3b-4f08-bfeb-157ebae33374,441823,2016-05-10,2016-09-04,resolved,1,25c303dc-a729-4fe4-b05a-f448e529de24,3eab6090-277b-44a8-86f2-4ba249810d08,
6a746a28-6d5a-4c92-b395-38badb5582be,56e67c55-1f1c-4a6f-8bc8-673e165bee28,1813149,2023-02-26,2023-05-21,resolved,1,96901b2d-3573-4a5a-969b-517724c5a404,47634c91-51d1-4c90-89fd-abee04f0f461,
2091905c-8f8d-4db0-a621-711f73101dfa,cd604aee-1598-4118-a4b1-a7fec0afd4b2,345584,2024-05-06,2024-08-22,resolved,1,a166e580-85d8-4ed0-b8c6-7898bb5b479e,1575b7e2-3679-43db-be33-977ba4f2bd7e,
54b6d52d-9ea8-4c61-b9d6-3e97e00d2d0e,924de569-d94e-49ff-ac44-78fc17ae7326,489312,2011-07-03,2011-09-12,resolved,1,9dd8a073-cdab-4106-a411-8cd4cab2f8f7,e1e3d9d7-f24c-4190-b92a-91cecba48240,
ecfaab0f-9784-49da-b6f0-b6da170b7d8d,6cb6af13-1f88-40d6-a344-28d9116810c0,280781,2023-04-05,2023-04-24,resolved,1,30c04e23-547a-415a-aa1b-01bd97fa7757,a2a0b260-b752-4e49-b3a2-c2e029b5153d,
4016c326-baf3-4d93-aa4e-8be36feb7c90,d7906ff9-8cf2-4e8e-8292-65a87bf0f9f0,450905,2023-01-26,2023-04-29,resolved,1,e25d830e-5bcb-416c-a9f8-ed74c933e84c,a6e91118-8365-4501-aebf-1e4cb373df37,
cdeea808-59af-4acd-863a-1819b0c927e2,dae21014-a6b2-4954-b8e9-1adb2c05dffb,208820,2013-07-02,2013-10-21,resolved,1,9ea21841-5c65-4a8d-8545-e4d21bb44d24,4e4c7d16-4efa-40d7-840f-266237db16de,
1fabe4bb-3f50-44d3-b29c-12d2cfaacaa1,61724a9d-d9d5-442f-a359-0cad43467069,371210,2007-01-28,2007-03-01,resolved,1,2bab2a02-7d8c-4991-9d56-086a990d050b,a8c7c09e-b8bf-4ec5-8c77-459a47fc9ccb,
e342b55c-90a6-4301-a045-bcbdc95f4126,6681f0f7-3779-4951-a95a-e8f8fc926889,480315,2023-05-27,2023-06-16,resolved,1,f512a21a-ada2-4546-a4e5-f30794570f53,9715681a-12a7-49bf-8a45-6b9476776893,
2b8a4f83-f562-463d-a810-0084ebd6923d,c43f3ddc-12cd-43c8-b9ce-715b0810eeef,1664300,2019-06-25,2019-09-19,resolved,1,2a38b47b-c86a-4bf3-ac78-9501aa51346c,9001e2ec-23bc-4d44-a7f8-36234ba621a5,
3a1ad424-3688-4c49-95bc-0d9f1a78a82e,e9eb51da-e90a-4236-a0ee-b16197dce031,290206,2011-06-21,2011-07-21,resolved,1,6c34d1cc-9b6e-41fe-a546-192da039a16a,3eab6090-277b-44a8-86f2-4ba249810d08,
e259fe8b-b2d4-4004-8e89-51d2cd539e6b,abb9bfe2-61c4-4b15-aae7-9113a5f4b5b3,644963,2024-04-19,2024-06-26,resolved,1,162681b9-d55d-47ea-b2b6-bc55e5b32040,5a5d74e3-e490-45e3-b4d2-980507ea22c8,
e5235a02-7cdd-4fb0-856d-97ab74332f96,73c5b5d5-d564-4e47-98a1-ca16aad16eee,261448,2016-04-24,2016-07-14,resolved,1,87077eed-7bb9-4239-9ead-f43284d16d98,932ba262-72c5-48fc-aa42-9fea28fe2120,
8084f213-3afa-481e-b6ad-39f83e768193,167447e0-a28c-44f3-b7c2-bf97b74d5cc4,3720324,2014-04-11,2014-05-30,resolved,1,6512ca80-50b1-45a7-94ee-6156e729fb77,629e8f1d-beff-49d3-8006-840a7cdecf30,
396b9c6a-28bc-412c-a917-f65a21849d19,b1e2bebb-7cf0-4cba-8150-77e761b02613,448078,2024-07-29,2024-11-11,resolved,1,71dfbce5-d2d5-41ec-844f-459ea4706ffd,65be338c-867a-442b-89cc-92b56a5ed4f6,
ffa99509-a4f5-4500-9244-81a8bbe73738,764b14e0-2a41-491f-8c1b-5c064bdca992,239065,2016-05-06,2016-06-04,resolved,1,f089dd1b-840d-4f83-a524-7f03783d95fe,6cded176-4ade-495e-9244-de08353f0044,
e6d77851-b9d9-43a7-9d5b-4e8150d22d1d,d047cfea-ff22-45db-b140-49ebf7eff312,2212851,2023-01-14,2023-02-23,resolved,0,679c1057-81ad-47df-9d3e-2619507b9964,47634c91-51d1-4c90-89fd-abee04f0f461,
0d340a13-9334-4e1e-a5e9-5ca6ffed8b02,d138f7f5-44fb-42c4-9b9e-318ae544c843,281563,2019-07-12,2019-09-18,resolved,1,3adae625-b1f8-44af-a7c5-d66cc235bb7c,47634c91-51d1-4c90-89fd-abee04f0f461,
b1e8ef98-8de6-49da-aaa0-b59b27d19daf,5cde1378-ba23-402f-8b48-11b2116ee65d,283277,2022-04-18,2022-07-26,resolved,1,ba87886f-9540-4f3f-90ae-abc3befe4d61,d42f69b5-9e79-4fbb-8a5e-5ea785c0d8d8,
ab283b51-555a-4f2a-b5dc-e659f10f2104,dabdbb79-0a2b-4b2e-b377-825a0d902684,424128,2020-06-21,2020-07-04,resolved,1,2b0794ea-66f1-4564-afb8-df7606292253,8d76aad1-cecd-4f12-853b-57447f0fcff2,
7c86a3e2-b66f-4b61-ab28-e13fc157f007,1c0df162-9bc9-47c6-bc61-6c5385307cc4,2065510,2003-11-22,2004-01-06,resolved,1,814cbcef-2f27-47c9-b5c8-f49521a99973,9001e2ec-23bc-4d44-a7f8-36234ba621a5,
029726ea-7721-4acb-a4e4-2050ab5b647a,b4be9fd6-660c-4288-b60f-3a373b627388,265933,2021-11-03,2022-02-11,resolved,1,c7afb454-c01f-4224-b1e2-289ea43bad35,9001e2ec-23bc-4d44-a7f8-36234ba621a5,
6412a256-e5c1-4d31-bd01-52a3d960f884,f491b0ca-3852-4e11-8fcc-ac03f317159c,680387,2017-12-15,2018-02-18,resolved,1,866e12ec-65df-458f-b0a6-7e7529a34c70,4d09e920-d5d4-4404-af9c-69d9dfda1132,
